cost;payment_date;payment_method
742410;2022-11-11;Apple Pay
977706;2022-11-23;Partial Payment
653562;2022-10-30;Subscription Payment
851596;2022-03-02;Payment on Delivery (COD)
658863;2022-05-24;Non-cash Payment
975745;2022-05-16;Bill Payment
362253;2022-10-08;Cash
529672;2022-01-03;Credit Card
130151;2022-11-25;Mobile Payment
815368;2022-05-23;Online Payment
944913;2022-09-27;PayPal
105570;2022-12-07;Google Pay
742339;2022-12-28;Cash
778305;2022-03-23;Credit Card
771859;2022-05-12;Cash
772356;2022-11-27;Credit Card
596327;2022-09-21;Cash
557760;2022-01-17;Credit Card
661911;2022-05-25;Debit Card
704212;2022-11-13;Wire Transfer
926323;2022-07-23;Check
944413;2022-09-04;E-money
121933;2022-06-13;Cryptocurrency
23158;2022-05-25;Bank Transfer
639410;2022-02-25;Mobile Payment
813867;2022-01-11;Online Payment
449835;2022-08-28;PayPal
756138;29.12.2022;Google Pay
415545;2022-12-22;Apple Pay
16600;2022-04-23;Partial Payment
875190;2022-01-06;Subscription Payment
591245;2022-03-14;Payment on Delivery (COD)
639301;2022-07-28;Non-cash Payment
118516;17.05.2022;Bill Payment
619686;2022-11-18;Cash
815416;2022-05-16;Credit Card
848915;2022-11-25;Mobile Payment
23305;2022-11-14;Online Payment
772171;2022-10-16;PayPal
242212;2022-10-17;Google Pay
453950;2022-11-24;Cash
747291;2022-06-06;Credit Card
473664;2022-11-23;Cash
167035;2022-07-04;Credit Card
516073;2022-07-08;Cash
41751;2022-12-19;Credit Card
486027;2022-11-18;Debit Card
122350;2022-03-26;Wire Transfer
813940;2022-10-10;Check
845133;2022-12-26;E-money
458691;2022-11-02;Cryptocurrency
377063;2022-09-22;Bank Transfer
699715;2022-08-23;Mobile Payment
865793;2022-03-27;Online Payment
542169;2022-05-23;PayPal
111401;2022-08-11;Google Pay
589491;2022-06-25;Apple Pay
197710;2022-12-26;Partial Payment
348721;2022-08-23;Subscription Payment
551805;2022-12-14;Payment on Delivery (COD)
640866;2022-07-12;Non-cash Payment
144983;2022-07-13;Bill Payment
281794;2022-04-12;Cash
681343;2022-09-01;Credit Card
959108;2022-06-14;Mobile Payment
864187;2022-07-12;Online Payment
199902;2022-10-14;PayPal
571261;2022-08-24;Google Pay
655347;2022-07-27;Cash
112013;2022-03-28;Credit Card
431322;2022-04-04;Cash
664506;2022-08-18;Credit Card
148664;2022-04-19;Cash
725690;2022-01-01;Credit Card
142400;2022-03-22;Debit Card
776088;2022-06-21;Wire Transfer
498831;2022-05-04;Check
497864;2022-01-02;E-money
824358;2022-09-09;Cryptocurrency
377781;2022-08-08;Bank Transfer
977265;2022-03-06;Mobile Payment
796922;2022-12-13;Online Payment
128374;2022-06-29;PayPal
396427;2022-01-11;Google Pay
764459;2022-11-27;Apple Pay
519991;2022-07-04;Partial Payment
653403;2022-03-16;Subscription Payment
408622;2022-09-09;Payment on Delivery (COD)
455263;2022-09-07;Non-cash Payment
164836;2022-05-28;Bill Payment
44996;2022-07-26;Cash
461436;2022-03-20;Credit Card
681934;2022-04-30;Mobile Payment
446496;2022-03-27;Online Payment
861496;2022-09-13;PayPal
309779;2022-10-09;Google Pay
596206;2022-01-28;Cash
990920;2022-04-24;Credit Card
864170;2022-05-11;Cash
46316;2022-08-17;Credit Card
921118;11.06.2022;Cash
971578;2022-05-03;Credit Card
270267;2022-10-16;Debit Card
666831;2022-07-28;Wire Transfer
203567;2022-04-12;Check
163854;2022-08-08;E-money
516644;2022-05-11;Cryptocurrency
375815;2022-12-15;Bank Transfer
454512;2022-08-04;Mobile Payment
10524;2022-08-28;Online Payment
450500;2022-05-26;PayPal
617157;08.02.2022;Google Pay
895124;2022-11-16;Apple Pay
211386;2022-03-16;Partial Payment
563744;2022-11-19;Subscription Payment
36810;2022-04-22;Payment on Delivery (COD)
179421;2022-02-12;Non-cash Payment
405206;2022-03-13;Bill Payment
789166;2022-12-02;Cash
47149;2022-06-08;Credit Card
193160;2022-09-16;Mobile Payment
258672;2022-12-01;Online Payment
161237;2022-12-12;PayPal
673642;2022-10-03;Google Pay
734969;2022-11-22;Cash
116449;2022-11-27;Credit Card
728375;2022-09-09;Cash
686264;2022-01-07;Credit Card
193475;2022-01-18;Cash
648829;2022-10-05;Credit Card
720092;2022-12-11;Debit Card
244732;2022-06-03;Wire Transfer
379802;2022-07-21;Check
959156;22.07.2022;E-money
683022;2022-06-15;Cryptocurrency
364897;2022-12-05;Bank Transfer
564662;2022-08-09;Mobile Payment
482401;2022-04-18;Online Payment
517897;2022-10-26;PayPal
767991;21.12.2022;Google Pay
321179;2022-01-22;Apple Pay
23527;2022-08-30;Partial Payment
776300;2022-12-13;Subscription Payment
889414;2022-07-09;Payment on Delivery (COD)
459283;30.09.2022;Non-cash Payment
141123;2022-09-20;Bill Payment
751089;2022-03-27;Cash
896638;2022-02-14;Credit Card
